"Order Total","Total marchandise"
"Order Total Excl. Tax","Total marchandise HT"
"Order Total Incl. Tax","Total marchandise TTC"
"Order Total Report","Rapport de total marchandise"
"Order Totals","Totaux marchandise"
"Ship To","Livrer à"
"Ship To:","Livrer à :"
"Regular Price","Prix de vente"
"Regular Price:","Prix de vente:"
"Your %store_name provisional order confirmation","Confirmation provisoire de votre commande %store_name"
"You will soon receive an definitive order confirmation email.","Vous allez bientôt recevoir un email de confirmation définitive."
